variable,x,y
Landuse08 Bare ground,-0.0030589520931243895,0.41062429547309875
Landuse08 Bare ground,-0.0029855372428894042,0.41062429547309875
Landuse08 Bare ground,-0.002912122392654419,0.41062429547309875
Landuse08 Bare ground,-0.0028387075424194334,0.41062429547309875
Landuse08 Bare ground,-0.002765292692184448,0.41062429547309875
Landuse08 Bare ground,-0.002691877841949463,0.41062429547309875
Landuse08 Bare ground,-0.0026184629917144773,0.41062429547309875
Landuse08 Bare ground,-0.002545048141479492,0.41062429547309875
Landuse08 Bare ground,-0.002471633291244507,0.41062429547309875
Landuse08 Bare ground,-0.002398218441009521,0.41062429547309875
Landuse08 Bare ground,-0.002324803590774536,0.41062429547309875
Landuse08 Bare ground,-0.0022513887405395507,0.41062429547309875
Landuse08 Bare ground,-0.0021779738903045655,0.41062429547309875
Landuse08 Bare ground,-0.0021045590400695802,0.41062429547309875
Landuse08 Bare ground,-0.0020311441898345946,0.41062429547309875
Landuse08 Bare ground,-0.0019577293395996094,0.41062429547309875
Landuse08 Bare ground,-0.0018843144893646241,0.41062429547309875
Landuse08 Bare ground,-0.0018108996391296387,0.41062429547309875
Landuse08 Bare ground,-0.0017374847888946532,0.41062429547309875
Landuse08 Bare ground,-0.001664069938659668,0.41062429547309875
Landuse08 Bare ground,-0.0015906550884246826,0.41062429547309875
Landuse08 Bare ground,-0.0015172402381896973,0.41062429547309875
Landuse08 Bare ground,-0.0014438253879547121,0.41062429547309875
Landuse08 Bare ground,-0.0013704105377197267,0.41062429547309875
Landuse08 Bare ground,-0.0012969956874847412,0.41062429547309875
Landuse08 Bare ground,-0.001223580837249756,0.41062429547309875
Landuse08 Bare ground,-0.0011501659870147706,0.41062429547309875
Landuse08 Bare ground,-0.0010767511367797853,0.41062429547309875
Landuse08 Bare ground,-0.0010033362865448001,0.41062429547309875
Landuse08 Bare ground,-9.299214363098145E-4,0.41062429547309875
Landuse08 Bare ground,-8.565065860748292E-4,0.41062429547309875
Landuse08 Bare ground,-7.830917358398436E-4,0.41062429547309875
Landuse08 Bare ground,-7.096768856048588E-4,0.41062429547309875
Landuse08 Bare ground,-6.362620353698735E-4,0.41062429547309875
Landuse08 Bare ground,-5.628471851348879E-4,0.41062429547309875
Landuse08 Bare ground,-4.894323348999027E-4,0.41062429547309875
Landuse08 Bare ground,-4.16017484664917E-4,0.41062429547309875
Landuse08 Bare ground,-3.426026344299318E-4,0.41062429547309875
Landuse08 Bare ground,-2.6918778419494655E-4,0.41062429547309875
Landuse08 Bare ground,-1.957729339599609E-4,0.41062429547309875
Landuse08 Bare ground,-1.2235808372497567E-4,0.41062429547309875
Landuse08 Bare ground,-4.8943233489990873E-5,0.41062429547309875
Landuse08 Bare ground,2.4471616744994786E-5,0.49949508905410767
Landuse08 Bare ground,9.788646697998001E-5,0.5110310912132263
Landuse08 Bare ground,1.7130131721496524E-4,0.5210943818092346
Landuse08 Bare ground,2.447161674499509E-4,0.5311344861984253
Landuse08 Bare ground,3.181310176849361E-4,0.5411433577537537
Landuse08 Bare ground,3.915458679199218E-4,0.5511131286621094
Landuse08 Bare ground,4.64960718154907E-4,0.5610359311103821
Landuse08 Bare ground,5.383755683898922E-4,0.5709041357040405
Landuse08 Bare ground,6.117904186248775E-4,0.5807103514671326
Landuse08 Bare ground,6.852052688598627E-4,0.5904473066329956
Landuse08 Bare ground,7.586201190948483E-4,0.6001079678535461
Landuse08 Bare ground,8.320349693298336E-4,0.6096855998039246
Landuse08 Bare ground,9.054498195648188E-4,0.6191735863685608
Landuse08 Bare ground,9.788646697998036E-4,0.6285657286643982
Landuse08 Bare ground,0.0010522795200347893,0.6378560662269592
Landuse08 Bare ground,0.001125694370269775,0.6470389366149902
Landuse08 Bare ground,0.0011991092205047606,0.6540448665618896
Landuse08 Bare ground,0.0012725240707397454,0.6534676551818848
Landuse08 Bare ground,0.001345938920974731,0.6528844237327576
Landuse08 Bare ground,0.0014193537712097158,0.6522951722145081
Landuse08 Bare ground,0.0014927686214447023,0.6516999006271362
Landuse08 Bare ground,0.0015661834716796871,0.6510985493659973
Landuse08 Bare ground,0.001639598321914672,0.6504912376403809
Landuse08 Bare ground,0.0017130131721496576,0.6498777866363525
Landuse08 Bare ground,0.0017864280223846424,0.6492583155632019
Landuse08 Bare ground,0.001859842872619629,0.6486327648162842
Landuse08 Bare ground,0.0019332577228546137,0.6480010747909546
Landuse08 Bare ground,0.0020066725730895994,0.6473633050918579
Landuse08 Bare ground,0.002080087423324584,0.6467193961143494
Landuse08 Bare ground,0.00215350227355957,0.646069347858429
Landuse08 Bare ground,0.0022269171237945555,0.6454131603240967
Landuse08 Bare ground,0.0023003319740295403,0.6447508335113525
Landuse08 Bare ground,0.002373746824264526,0.6440823078155518
Landuse08 Bare ground,0.0024471616744995107,0.6434076428413391
Landuse08 Bare ground,0.0025205765247344964,0.642726719379425
Landuse08 Bare ground,0.002593991374969481,0.6420396566390991
Landuse08 Bare ground,0.0026674062252044677,0.6413463354110718
Landuse08 Bare ground,0.0027408210754394525,0.6406468152999878
Landuse08 Bare ground,0.002814235925674438,0.6399410367012024
Landuse08 Bare ground,0.002887650775909423,0.6392289996147156
Landuse08 Bare ground,0.0029610656261444077,0.6385107040405273
Landuse08 Bare ground,0.0030344804763793943,0.6377861499786377
Landuse08 Bare ground,0.003107895326614379,0.6370552778244019
Landuse08 Bare ground,0.0031813101768493647,0.6363180875778198
Landuse08 Bare ground,0.0032547250270843495,0.6355746388435364
Landuse08 Bare ground,0.003328139877319335,0.634824812412262
Landuse08 Bare ground,0.00340155472755432,0.6340686678886414
Landuse08 Bare ground,0.0034749695777893065,0.6333062052726746
Landuse08 Bare ground,0.0035483844280242913,0.632537305355072
Landuse08 Bare ground,0.003621799278259276,0.6317620873451233
Landuse08 Bare ground,0.0036952141284942617,0.6309804916381836
Landuse08 Bare ground,0.0037686289787292465,0.6301925182342529
Landuse08 Bare ground,0.003842043828964233,0.6293981075286865
Landuse08 Bare ground,0.003915458679199218,0.6285972595214844
Landuse08 Bare ground,0.0039888735294342035,0.6277899742126465
Landuse08 Bare ground,0.004062288379669188,0.6269763112068176
Landuse08 Bare ground,0.004135703229904174,0.6261561512947083
Landuse08 Bare ground,0.00420911808013916,0.6253294944763184
Landuse08 Bare ground,0.004282532930374144,0.6244964599609375
Landuse08 Bare ground,0.00435594778060913,0.6236568689346313
Landuse08 Bare ground,0.004429362630844115,0.6228107810020447
Landuse08 Bare ground,0.0045027774810791005,0.6219581961631775
Landuse08 Bare ground,0.004576192331314086,0.6210991144180298
Landuse08 Bare ground,0.004649607181549072,0.6202334761619568
Landuse08 Bare ground,0.004723022031784057,0.6193612813949585
Landuse08 Bare ground,0.004796436882019041,0.6184825897216797
Landuse08 Bare ground,0.004869851732254027,0.6175972819328308
Landuse08 Bare ground,0.004943266582489013,0.6167054772377014
Landuse08 Bare ground,0.005016681432723997,0.6158069968223572
Landuse08 Bare ground,0.005090096282958984,0.6149020195007324
Landuse08 Bare ground,0.005163511133193968,0.6139903664588928
Landuse08 Bare ground,0.005236925983428954,0.6130721569061279
Landuse08 Bare ground,0.005310340833663939,0.6121472716331482
Landuse08 Bare ground,0.005383755683898925,0.6112158298492432
Landuse08 Bare ground,0.005457170534133911,0.6102777123451233
Landuse08 Bare ground,0.0055305853843688945,0.6093329191207886
Landuse08 Bare ground,0.00560400023460388,0.6083815097808838
Landuse08 Bare ground,0.005677415084838866,0.6074234247207642
Landuse08 Bare ground,0.0057508299350738515,0.6064586639404297
Landuse08 Bare ground,0.005824244785308837,0.6054872274398804
Landuse08 Bare ground,0.005897659635543821,0.6045091152191162
Landuse08 Bare ground,0.005971074485778807,0.6035242676734924
Landuse08 Bare ground,0.006044489336013794,0.6025327444076538
Landuse08 Bare ground,0.006117904186248778,0.6015345454216003
Landuse08 Bare ground,0.006191319036483764,0.6005295515060425
Landuse08 Bare ground,0.006264733886718748,0.5995178818702698
Landuse08 Bare ground,0.006338148736953733,0.5984994173049927
Landuse08 Bare ground,0.006411563587188721,0.5974742770195007
Landuse08 Bare ground,0.006484978437423705,0.5964423418045044
Landuse08 Bare ground,0.00655839328765869,0.5954036712646484
Landuse08 Bare ground,0.006631808137893674,0.5943582653999329
Landuse08 Bare ground,0.006705222988128662,0.5933060646057129
Landuse08 Bare ground,0.006778637838363647,0.5922471284866333
Landuse08 Bare ground,0.006852052688598631,0.5911813378334045
Landuse08 Bare ground,0.006925467538833617,0.5901088714599609
Landuse08 Bare ground,0.006998882389068601,0.5890295505523682
Landuse08 Bare ground,0.007072297239303588,0.587943434715271
Landuse08 Bare ground,0.007145712089538574,0.5868505239486694
Landuse08 Bare ground,0.007219126939773558,0.5857508182525635
Landuse08 Bare ground,0.007292541790008543,0.5846443176269531
Landuse08 Bare ground,0.007365956640243529,0.5835310220718384
Landuse08 Bare ground,0.007439371490478515,0.5824109315872192
Landuse08 Bare ground,0.0075127863407135,0.5812839865684509
Landuse08 Bare ground,0.007586201190948484,0.5801502466201782
Landuse08 Bare ground,0.00765961604118347,0.5790097117424011
Landuse08 Bare ground,0.007733030891418456,0.5778623223304749
Landuse08 Bare ground,0.007806445741653441,0.5767081379890442
Landuse08 Bare ground,0.007879860591888426,0.5755470991134644
Landuse08 Bare ground,0.00795327544212341,0.5743793249130249
Landuse08 Bare ground,0.008026690292358397,0.5732046365737915
Landuse08 Bare ground,0.008100105142593381,0.5720231533050537
Landuse08 Bare ground,0.008173519992828369,0.5708348751068115
Landuse08 Bare ground,0.008246934843063353,0.5696397423744202
Landuse08 Bare ground,0.008320349693298337,0.5684378147125244
Landuse08 Bare ground,0.008393764543533324,0.5672290325164795
Landuse08 Bare ground,0.008467179393768308,0.5660134553909302
Landuse08 Bare ground,0.008540594244003295,0.5647910237312317
Landuse08 Bare ground,0.00861400909423828,0.5635618567466736
Landuse08 Bare ground,0.008687423944473267,0.5623258352279663
Landuse08 Bare ground,0.00876083879470825,0.5610830187797546
Landuse08 Bare ground,0.008834253644943234,0.5598333477973938
Landuse08 Bare ground,0.008907668495178222,0.5585769414901733
Landuse08 Bare ground,0.008981083345413206,0.5573137402534485
Landuse08 Bare ground,0.009054498195648193,0.5560437440872192
Landuse08 Bare ground,0.009127913045883177,0.5547669529914856
Landuse08 Bare ground,0.009201327896118161,0.5534833669662476
Landuse08 Bare ground,0.009274742746353148,0.5521931052207947
Landuse08 Bare ground,0.009348157596588132,0.5508959889411926
Landuse08 Bare ground,0.00942157244682312,0.549592137336731
Landuse08 Bare ground,0.009494987297058104,0.5482815504074097
Landuse08 Bare ground,0.009568402147293088,0.5469642281532288
Landuse08 Bare ground,0.009641816997528075,0.5456401705741882
Landuse08 Bare ground,0.009715231847763059,0.5443093776702881
Landuse08 Bare ground,0.009788646697998046,0.5429718494415283
Landuse08 Bare ground,0.00986206154823303,0.5416276454925537
Landuse08 Bare ground,0.009935476398468014,0.5402767658233643
Landuse08 Bare ground,0.010008891248703002,0.53891921043396
Landuse08 Bare ground,0.010082306098937985,0.5375549793243408
Landuse08 Bare ground,0.010155720949172973,0.5361841320991516
Landuse08 Bare ground,0.010229135799407957,0.5348066091537476
Landuse08 Bare ground,0.01030255064964294,0.5334224700927734
Landuse08 Bare ground,0.010375965499877928,0.5320317149162292
Landuse08 Bare ground,0.010449380350112912,0.530634343624115
Landuse08 Bare ground,0.0105227952003479,0.5292304158210754
Landuse08 Bare ground,0.010596210050582883,0.5278198719024658
Landuse08 Bare ground,0.01066962490081787,0.5264028310775757
Landuse08 Bare ground,0.010743039751052855,0.5249792337417603
Landuse08 Bare ground,0.010816454601287839,0.5235491394996643
Landuse08 Bare ground,0.010889869451522826,0.5221125483512878
Landuse08 Bare ground,0.01096328430175781,0.5206694602966309
Landuse08 Bare ground,0.011036699151992797,0.5192199349403381
Landuse08 Bare ground,0.011110114002227781,0.5177639722824097
Landuse08 Bare ground,0.011183528852462765,0.5163015127182007
Landuse08 Bare ground,0.011256943702697753,0.5148327350616455
Landuse08 Bare ground,0.011330358552932736,0.5133575797080994
Landuse08 Bare ground,0.011403773403167724,0.5118760466575623
Landuse08 Bare ground,0.011477188253402708,0.510388195514679
Landuse08 Bare ground,0.011550603103637692,0.5088940858840942
Landuse08 Bare ground,0.01162401795387268,0.5073936581611633
Landuse08 Bare ground,0.011697432804107663,0.5058869123458862
Landuse08 Bare ground,0.01177084765434265,0.5043740272521973
Landuse08 Bare ground,0.011844262504577634,0.5028548836708069
Landuse08 Bare ground,0.011917677354812618,0.5013296008110046
Landuse08 Bare ground,0.011991092205047606,0.4997981786727905
Landuse08 Bare ground,0.01206450705528259,0.49826058745384216
Landuse08 Bare ground,0.012137921905517577,0.4967169463634491
Landuse08 Bare ground,0.012211336755752561,0.49516722559928894
Landuse08 Bare ground,0.012284751605987545,0.49361148476600647
Landuse08 Bare ground,0.012358166456222532,0.4920497536659241
Landuse08 Bare ground,0.012431581306457516,0.49048203229904175
Landuse08 Bare ground,0.012504996156692504,0.48890841007232666
Landuse08 Bare ground,0.012578411006927488,0.4873288869857788
Landuse08 Bare ground,0.012651825857162471,0.4857434630393982
Landuse08 Bare ground,0.012725240707397459,0.48415225744247437
Landuse08 Bare ground,0.012798655557632443,0.48255521059036255
Landuse08 Bare ground,0.01287207040786743,0.4809524416923523
Landuse08 Bare ground,0.012945485258102414,0.4793439209461212
Landuse08 Bare ground,0.013018900108337401,0.4777297377586365
Landuse08 Bare ground,0.013092314958572382,0.47610992193222046
Landuse08 Bare ground,0.01316572980880737,0.47448447346687317
Landuse08 Bare ground,0.013239144659042357,0.47285348176956177
Landuse08 Bare ground,0.01331255950927734,0.47121697664260864
Landuse08 Bare ground,0.013385974359512325,0.4695749580860138
Landuse08 Bare ground,0.013459389209747308,0.4679275155067444
Landuse08 Bare ground,0.013532804059982296,0.4662746787071228
Landuse08 Bare ground,0.013606218910217283,0.4646165072917938
Landuse08 Bare ground,0.013679633760452267,0.46295300126075745
Landuse08 Bare ground,0.013753048610687251,0.46128422021865845
Landuse08 Bare ground,0.013826463460922239,0.459610253572464
Landuse08 Bare ground,0.013899878311157222,0.4579311013221741
Landuse08 Bare ground,0.01397329316139221,0.45624685287475586
Landuse08 Bare ground,0.014046708011627194,0.45455750823020935
Landuse08 Bare ground,0.014120122861862178,0.4528631567955017
Landuse08 Bare ground,0.014193537712097165,0.4511638283729553
Landuse08 Bare ground,0.014266952562332149,0.4494595527648926
Landuse08 Bare ground,0.014340367412567136,0.447750449180603
Landuse08 Bare ground,0.01441378226280212,0.4460364878177643
Landuse08 Bare ground,0.014487197113037104,0.4443177878856659
Landuse08 Bare ground,0.014560611963272092,0.44259437918663025
Landuse08 Bare ground,0.014634026813507076,0.44086629152297974
Landuse08 Bare ground,0.014707441663742063,0.4391336143016815
Landuse08 Bare ground,0.01478085651397705,0.43739640712738037
Landuse08 Bare ground,0.01485427136421203,0.4356546998023987
Landuse08 Bare ground,0.014927686214447018,0.4339085519313812
Landuse08 Bare ground,0.015001101064682002,0.43215805292129517
Landuse08 Bare ground,0.01507451591491699,0.4304032325744629
Landuse08 Bare ground,0.015147930765151977,0.4286441504955292
Landuse08 Bare ground,0.015221345615386957,0.42688092589378357
Landuse08 Bare ground,0.015294760465621945,0.4251134991645813
Landuse08 Bare ground,0.015368175315856929,0.4233420491218567
Landuse08 Bare ground,0.015441590166091916,0.42156660556793213
Landuse08 Bare ground,0.015515005016326903,0.41978719830513
Landuse08 Bare ground,0.015588419866561884,0.4180039167404175
Landuse08 Bare ground,0.01566183471679687,0.4162168502807617
Landuse08 Bare ground,0.015735249567031855,0.4144259989261627
Landuse08 Bare ground,0.015808664417266843,0.4126315116882324
Landuse08 Bare ground,0.01588207926750183,0.4108334183692932
Landuse08 Bare ground,0.01595549411773681,0.4090317189693451
Landuse08 Bare ground,0.016028908967971798,0.40713149309158325
Landuse08 Bare ground,0.016102323818206785,0.4051685631275177
Landuse08 Bare ground,0.01617573866844177,0.4031941890716553
Landuse08 Bare ground,0.016249153518676757,0.4011727571487427
Landuse08 Bare ground,0.016322568368911737,0.3991488218307495
Landuse08 Bare ground,0.016395983219146724,0.39712244272232056
Landuse08 Bare ground,0.016469398069381712,0.395093709230423
Landuse08 Bare ground,0.016542812919616696,0.3930627703666687
Landuse08 Bare ground,0.016616227769851683,0.3910296857357025
Landuse08 Bare ground,0.016689642620086664,0.3889945149421692
Landuse08 Bare ground,0.01676305747032165,0.38695746660232544
Landuse08 Bare ground,0.01683647232055664,0.38491854071617126
Landuse08 Bare ground,0.016909887170791622,0.38287782669067383
Landuse08 Bare ground,0.01698330202102661,0.38083550333976746
Landuse08 Bare ground,0.01705671687126159,0.37879160046577454
Landuse08 Bare ground,0.017130131721496578,0.376746267080307
Landuse08 Bare ground,0.017203546571731565,0.37469953298568726
Landuse08 Bare ground,0.01727696142196655,0.3726515769958496
Landuse08 Bare ground,0.017350376272201536,0.37060248851776123
Landuse08 Bare ground,0.017423791122436517,0.3685522675514221
Landuse08 Bare ground,0.017497205972671504,0.3665011525154114
Landuse08 Bare ground,0.01757062082290649,0.3644492030143738
Landuse08 Bare ground,0.017644035673141475,0.3623964786529541
Landuse08 Bare ground,0.017717450523376463,0.3603431284427643
Landuse08 Bare ground,0.017790865373611447,0.35828927159309387
Landuse08 Bare ground,0.01786428022384643,0.35623496770858765
Landuse08 Bare ground,0.017937695074081418,0.35418030619621277
Landuse08 Bare ground,0.018011109924316402,0.35212546586990356
Landuse08 Bare ground,0.01808452477455139,0.3500705063343048
Landuse08 Bare ground,0.018157939624786373,0.34801551699638367
Landuse08 Bare ground,0.018231354475021357,0.3459606468677521
Landuse08 Bare ground,0.018304769325256345,0.3439059853553772
Landuse08 Bare ground,0.01837818417549133,0.3418516516685486
Landuse08 Bare ground,0.018451599025726313,0.339797705411911
Landuse08 Bare ground,0.0185250138759613,0.3377442955970764
Landuse08 Bare ground,0.018598428726196284,0.33569157123565674
Landuse08 Bare ground,0.01867184357643127,0.3336395025253296
Landuse08 Bare ground,0.01874525842666626,0.33158835768699646
Landuse08 Bare ground,0.01881867327690124,0.32953816652297974
Landuse08 Bare ground,0.018892088127136226,0.3274889886379242
Landuse08 Bare ground,0.01896550297737121,0.32544106245040894
Landuse08 Bare ground,0.019038917827606198,0.32339441776275635
Landuse08 Bare ground,0.019112332677841185,0.321349173784256
Landuse08 Bare ground,0.019185747528076166,0.3193053901195526
Landuse08 Bare ground,0.019259162378311153,0.31726327538490295
Landuse08 Bare ground,0.019332577228546137,0.3152228593826294
Landuse08 Bare ground,0.019405992078781124,0.3131842613220215
Landuse08 Bare ground,0.019479406929016112,0.31114763021469116
Landuse08 Bare ground,0.019552821779251092,0.3091130554676056
Landuse08 Bare ground,0.01962623662948608,0.30708059668540955
Landuse08 Bare ground,0.019699651479721064,0.30505046248435974
Landuse08 Bare ground,0.01977306632995605,0.30302271246910095
Landuse08 Bare ground,0.01984648118019104,0.30099746584892273
Landuse08 Bare ground,0.01991989603042602,0.2989747226238251
Landuse08 Bare ground,0.019993310880661006,0.29695478081703186
Landuse08 Bare ground,0.020066725730895994,0.2949376106262207
Landuse08 Bare ground,0.020140140581130977,0.29292333126068115
Landuse08 Bare ground,0.020213555431365965,0.29091212153434753
Landuse08 Bare ground,0.020286970281600945,0.288904070854187
Landuse08 Bare ground,0.020360385131835933,0.2868991792201996
Landuse08 Bare ground,0.02043379998207092,0.28489771485328674
Landuse08 Bare ground,0.020507214832305904,0.2828996777534485
Landuse08 Bare ground,0.02058062968254089,0.28090521693229675
Landuse08 Bare ground,0.020654044532775872,0.2789143919944763
Landuse08 Bare ground,0.02072745938301086,0.2769273519515991
Landuse08 Bare ground,0.020800874233245847,0.2749442160129547
Landuse08 Bare ground,0.02087428908348083,0.2729649841785431
Landuse08 Bare ground,0.020947703933715818,0.27098989486694336
