variable,x,y
Landuse01 Water,-0.00507882991223596,0.8188081383705139
Landuse01 Water,-0.004941116645000875,0.8188081383705139
Landuse01 Water,-0.0048034033777657895,0.8188081383705139
Landuse01 Water,-0.0046656901105307045,0.8188081383705139
Landuse01 Water,-0.004527976843295619,0.8188081383705139
Landuse01 Water,-0.004390263576060534,0.8188081383705139
Landuse01 Water,-0.004252550308825449,0.8188081383705139
Landuse01 Water,-0.004114837041590363,0.8188081383705139
Landuse01 Water,-0.003977123774355277,0.8188081383705139
Landuse01 Water,-0.003839410507120192,0.8188081383705139
Landuse01 Water,-0.003701697239885107,0.8188081383705139
Landuse01 Water,-0.003563983972650021,0.8188081383705139
Landuse01 Water,-0.003426270705414936,0.8188081383705139
Landuse01 Water,-0.0032885574381798506,0.8188081383705139
Landuse01 Water,-0.003150844170944765,0.8188081383705139
Landuse01 Water,-0.0030131309037096797,0.8188081383705139
Landuse01 Water,-0.0028754176364745943,0.8188081383705139
Landuse01 Water,-0.0027377043692395093,0.8188081383705139
Landuse01 Water,-0.002599991102004424,0.8188081383705139
Landuse01 Water,-0.0024622778347693384,0.8188081383705139
Landuse01 Water,-0.002324564567534253,0.8188081383705139
Landuse01 Water,-0.0021868513002991675,0.8188081383705139
Landuse01 Water,-0.002049138033064082,0.8188081383705139
Landuse01 Water,-0.0019114247658289967,0.8188081383705139
Landuse01 Water,-0.0017737114985939117,0.8188081383705139
Landuse01 Water,-0.0016359982313588262,0.8188081383705139
Landuse01 Water,-0.0014982849641237408,0.8188081383705139
Landuse01 Water,-0.0013605716968886554,0.8188081383705139
Landuse01 Water,-0.00122285842965357,0.8188081383705139
Landuse01 Water,-0.001085145162418485,0.8188081383705139
Landuse01 Water,-9.474318951833991E-4,0.8188081383705139
Landuse01 Water,-8.097186279483141E-4,0.8188081383705139
Landuse01 Water,-6.720053607132282E-4,0.8188081383705139
Landuse01 Water,-5.342920934781432E-4,0.8188081383705139
Landuse01 Water,-3.965788262430582E-4,0.8188081383705139
Landuse01 Water,-2.5886555900797234E-4,0.8188081383705139
Landuse01 Water,-1.2115229177288734E-4,0.8188081383705139
Landuse01 Water,1.6560975462198528E-5,0.8188081383705139
Landuse01 Water,1.5427424269728353E-4,0.8188081383705139
Landuse01 Water,2.919875099323694E-4,0.8188081383705139
Landuse01 Water,4.297007771674544E-4,0.8188081383705139
Landuse01 Water,5.674140444025394E-4,0.8188081383705139
Landuse01 Water,7.051273116376253E-4,0.8125646710395813
Landuse01 Water,8.428405788727103E-4,0.7928465604782104
Landuse01 Water,9.805538461077961E-4,0.7716379761695862
Landuse01 Water,0.0011182671133428811,0.748946487903595
Landuse01 Water,0.001255980380577967,0.7275893092155457
Landuse01 Water,0.001393693647813052,0.7156752943992615
Landuse01 Water,0.001531406915048137,0.7034536600112915
Landuse01 Water,0.0016691201822832229,0.6909346580505371
Landuse01 Water,0.0018068334495183079,0.6781300902366638
Landuse01 Water,0.0019445467167533937,0.6650533080101013
Landuse01 Water,0.0020822599839884787,0.6517192721366882
Landuse01 Water,0.0022199732512235637,0.6381443738937378
Landuse01 Water,0.0023576865184586496,0.6243466138839722
Landuse01 Water,0.0024953997856937346,0.610345184803009
Landuse01 Water,0.0026331130529288205,0.5961606502532959
Landuse01 Water,0.0027708263201639063,0.5818147659301758
Landuse01 Water,0.0029085395873989905,0.5673303604125977
Landuse01 Water,0.0030462528546340763,0.5527312159538269
Landuse01 Water,0.003183966121869162,0.538041889667511
Landuse01 Water,0.0033216793891042463,0.5260714888572693
Landuse01 Water,0.003459392656339332,0.514369785785675
Landuse01 Water,0.003597105923574418,0.5026535391807556
Landuse01 Water,0.003734819190809504,0.49093571305274963
Landuse01 Water,0.003872532458044588,0.48898181319236755
Landuse01 Water,0.004010245725279674,0.48876166343688965
Landuse01 Water,0.00414795899251476,0.4885428249835968
Landuse01 Water,0.004285672259749844,0.48832523822784424
Landuse01 Water,0.00442338552698493,0.48810893297195435
Landuse01 Water,0.004561098794220016,0.4878939092159271
Landuse01 Water,0.0046988120614551016,0.4876801371574402
Landuse01 Water,0.004836525328690186,0.4874676764011383
Landuse01 Water,0.0049742385959252716,0.4872564673423767
Landuse01 Water,0.005111951863160357,0.4870465397834778
Landuse01 Water,0.0052496651303954416,0.48683789372444153
Landuse01 Water,0.005387378397630527,0.48663049936294556
Landuse01 Water,0.005525091664865613,0.48642438650131226
Landuse01 Water,0.005662804932100699,0.486219584941864
Landuse01 Water,0.005800518199335783,0.48601603507995605
Landuse01 Water,0.005938231466570869,0.4858137369155884
Landuse01 Water,0.006075944733805955,0.48561275005340576
Landuse01 Water,0.006213658001041039,0.4854130148887634
Landuse01 Water,0.006351371268276125,0.48521456122398376
Landuse01 Water,0.006489084535511211,0.4850173890590668
Landuse01 Water,0.006626797802746297,0.48482149839401245
Landuse01 Water,0.006764511069981381,0.4846268892288208
Landuse01 Water,0.006902224337216467,0.48443353176116943
Landuse01 Water,0.007039937604451553,0.48424145579338074
Landuse01 Water,0.007177650871686637,0.4840506613254547
Landuse01 Water,0.007315364138921723,0.48386114835739136
Landuse01 Water,0.0074530774061568085,0.4836728870868683
Landuse01 Water,0.007590790673391894,0.4834859073162079
Landuse01 Water,0.0077285039406269785,0.48330020904541016
Landuse01 Water,0.007866217207862064,0.4831157922744751
Landuse01 Water,0.00800393047509715,0.4829326570034027
Landuse01 Water,0.008141643742332234,0.4827507734298706
Landuse01 Water,0.00827935700956732,0.48257017135620117
Landuse01 Water,0.008417070276802406,0.4823908507823944
Landuse01 Water,0.00855478354403749,0.4822128117084503
Landuse01 Water,0.008692496811272576,0.4820360243320465
Landuse01 Water,0.008830210078507662,0.48186054825782776
Landuse01 Water,0.008967923345742748,0.4816863238811493
Landuse01 Water,0.009105636612977832,0.4815133512020111
Landuse01 Water,0.009243349880212918,0.481341689825058
Landuse01 Water,0.009381063147448004,0.48117128014564514
Landuse01 Water,0.009518776414683088,0.48100215196609497
Landuse01 Water,0.009656489681918174,0.48083430528640747
Landuse01 Water,0.00979420294915326,0.48066774010658264
Landuse01 Water,0.009931916216388345,0.4805024266242981
Landuse01 Water,0.01006962948362343,0.4803383946418762
